model,rmse,mae,r2
hybrid_transformer,0.4167363366848939,0.30881160497665405,0.6972413659095764
hybrid,0.4335402206507992,0.31859201192855835,0.6723331212997437
transformer_model,0.515063702800741,0.378250390291214,0.5375170707702637
text_model,0.5433213166456538,0.3981284499168396,0.48537927865982056
