log_price,text_model_prediction,transformer_model_prediction,hybrid_prediction,hybrid_transformer_prediction,text_model_abs_error,transformer_model_abs_error,hybrid_abs_error,hybrid_transformer_abs_error,baseline_rmse_proxy,best_model_vs_baseline_gain_proxy,description_preview
5.393627546352362,4.957773,5.1204276,5.2711816,5.3935614,0.4358543377341979,0.27319993786237173,0.12244596294782095,6.618313214712401e-05,0.40756094031972245,0.40749475718757533,"A beautiful, well appointed first floor apartment within a recently refurbished building serviced by a lift.<br /><br />The apartment boasts a large bedroom with plenty of storage,"
4.912654885736052,4.658517,4.7383313,5.0189047,4.912728,0.2541380018859547,0.17432356783444103,0.10624980023806874,7.294705813709612e-05,0.40756094031972245,0.40748799326158536,"A bright one double bedroom fourth-floor apartment located within a 5-minute walk to Oxford Circus and Tottenham Court Road Stations and all the shops, bars, and restaurants on Oxf"
5.365976015021851,4.915903,5.1215014,5.575442,5.3658576,0.4500729235911871,0.2444745692515875,0.20946582228893984,0.00011841385607969102,0.40756094031972245,0.40744252646364276,"Located in a quiet family road, this lovely home is brilliantly located just moments away from the shops and restaurants in West Hampstead's buzzing high street, and where there ar"
4.770684624465665,4.369234,4.410315,4.824352,4.770546,0.4014505393826573,0.36036958769198346,0.05366716310147357,0.00013866499300885238,0.40756094031972245,0.4074222753267136,"Stylish and cosy flat in Norwood Junction, just minutes from the station with fast links to Central London, Gatwick and beyond. Perfect for football fans with Selhurst Park Stadium"
4.672828834461906,4.5422153,4.610614,4.800667,4.6726017,0.13061348717186672,0.06221501152489406,0.12783797462012547,0.00022713463280421564,0.40756094031972245,0.40733380568691824,"We have a brilliant location if you wish to do some sightseeing, work or study in London. We are directly in the city centre. You will enjoy the short distance, flexible and comple"
5.805134968916488,5.985651,5.9554806,5.8013196,5.80541,0.1805160473188634,0.15034560664503527,0.0038153697648768414,0.0002749393781895648,0.40756094031972245,0.4072860009415329,Make magical moments at this top floor luxury two bedroom apartment perfectly positioned in the very heart of vibrant Soho. Live the West End dream from your enviable location – sa
4.330733340286331,4.132746,4.2269998,4.3646827,4.3303967,0.1979871206513213,0.10373358061225879,0.03394933412162793,0.00033668806465136925,0.40756094031972245,0.4072242522550711,"Bright, fully furnished room with private bathroom in a clean 3-bedroom 2-lavatories home.<br /><br />Live-in host – space is always tidy, no cleaning fees.<br /><br />Private balc"
5.808142489980444,5.6093225,5.7192373,5.4546914,5.8085136,0.19881994206784626,0.08890516240476032,0.35345107991574665,0.00037115137697796285,0.40756094031972245,0.4071897889427445,"Modern 2-bedroom, 2-bathroom flat in Holborn, London, located on Parker Street. This 765 sqft furnished property features a north-facing balcony, contemporary interiors, and a full"
5.560681631015528,5.361462,5.005604,5.4147,5.561053,0.19921951477407251,0.5550778407323245,0.14598159973501001,0.00037116820932592276,0.40756094031972245,0.40718977211039653,"Welcome to The Avenue, a private development in tranquil Finchley offering suburban peace and urban convenience.<br /><br />This recently built modern home is ideal for families or"
4.23410650459726,4.2750144,4.523236,4.0032544,4.2345176,0.040907895884918055,0.2891292932848204,0.23085209099252335,0.0004110697130430552,0.40756094031972245,0.4071498706066794,Take it easy at this unique and tranquil getaway.
4.709530201312334,4.950668,4.725875,4.750733,4.7090816,0.2411376568114454,0.016344699505537186,0.041202697399824295,0.0004485515320604705,0.40756094031972245,0.407112388787662,This welcoming apartment is perfect for a London getaway!
4.927253685157205,5.466327,5.257248,4.8434877,4.9277773,0.5390735052419648,0.3299942396474824,0.0837659455942168,0.0005236051870332048,0.40756094031972245,0.40703733513268925,"Open plan warehouse conversion close to hoxton square in London shoreditch. Separate equipped kitchen/ dining room, exposed brickwork. Set on a relatively quiet back street garden "
4.691347882229144,4.767605,4.667953,4.3217897,4.691875,0.07625694565171504,0.023394867855365042,0.36955814071303106,0.0005270986973693326,0.40756094031972245,0.4070338416223531,"Charming studio just 2 min from Earl’s Court Station—perfect for exploring London! Enjoy a comfy bed, bathroom, kitchen to cook your meals, and a dedicated workspace. It’s on the t"
4.709530201312334,5.349555,4.819533,4.74164,4.708954,0.6400248142516309,0.11000266993400398,0.032109889630048905,0.000576343890458908,0.40756094031972245,0.40698459642926355,"★ This is a Stunningly Beautiful, Newly refurbished Split Level Studio apartment for 2 Persons with unique design and artistic spiral staircase and wooden beams in Lancaster Gate w"
5.501258210544727,5.1988497,5.2680664,5.2479234,5.5006146,0.30240853250517663,0.2331918042947274,0.253334836368702,0.0006435674478035835,0.40756094031972245,0.40691737287191887,"Welcome to our charming apartment, located right next to the iconic Tower Bridge in the heart of London! Enjoy stunning views of the Thames and be within walking distance of some o"
4.787491742782046,5.2494774,5.1838155,5.1164756,4.786675,0.46198564369256356,0.39632373649651864,0.3289838393407569,0.0008167664331688584,0.40756094031972245,0.4067441738865536,Stay at the heart of Hackney in a lovely one-bedroom apartment with everything you need to feel like a local.<br /><br />Just by the Regents canal and minutes walking from London F
4.653960350157523,4.4741087,4.1716366,4.335001,4.6530876,0.17985165417363635,0.48232376873662464,0.318959358336234,0.0008727341907261987,0.40756094031972245,0.40668820612899625,Two bedroom garden flat. Open space with natural light in a very peaceful residential area. <br /><br />Your bedroom has a private bathroom. Located by the main entrance on the rig
4.948759890378168,4.7624836,4.902472,4.984813,4.9478602,0.18627629357641062,0.046287871182611795,0.036053322970220236,0.0008996494418891388,0.40756094031972245,0.4066612908778333,"Fully furnished one bedroom flat in Queens park .<br />Tube station less then 10min walk , bus stops and restaurants also walking distance. <br />This apartment perfect accommodati"
5.3230099791384085,5.0645022,5.0159616,5.564904,5.323988,0.25850773991111353,0.30704833210471705,0.2418942338132517,0.0009779816770212335,0.40756094031972245,0.4065829586427012,This apartment is in a quiet residential building located at a stone throwing distance to King’s Cross and St Pancras stations (Eurostar trains). <br /><br />The apartment is in a 
4.394449154672439,4.5885034,4.729509,4.2980556,4.3934383,0.1940542060758519,0.335059722128098,0.09639350586872819,0.001010815439040691,0.40756094031972245,0.40655012488068176,"Kick back and relax in this calm, stylish space. Family friendly and spacious. Near Canary wharf - 18 Min Drive, 8 minutes walk to the train station. Complimentary WiFi, NETFLIX, H"
4.867534450455582,4.92627,5.0239606,4.7805057,4.868565,0.05873555763157601,0.15642613990696663,0.08702879325953727,0.0010306320944666325,0.40756094031972245,0.4065303082252558,
6.672032945461067,5.33537,5.9774957,6.5018234,6.6709466,1.3366628816793291,0.6945372751424639,0.17020952016809865,0.0010863474080888835,0.40756094031972245,0.40647459291163357,"This large house centrally located next to the wonderful Battersea Park, is the perfect place from which to explore Chelsea and beyond, and enjoy downtime."
4.543294782270004,4.925616,4.799845,4.3991723,4.542169,0.3823210052360997,0.25655043638844344,0.1441224762092128,0.0011256881843104694,0.40756094031972245,0.406435252135412,Your family will be close to everything when you stay at this centrally-located place.
5.863631175598097,5.5343876,5.7042284,5.614063,5.8624864,0.3292435870971202,0.15940277441401474,0.24956838949580185,0.0011448131408213769,0.40756094031972245,0.4064161271789011,"This amazing penthouse apartment split on 2 levels of a new build is walking distance to Fulham Broadway Station and close to the shopping district of Kings Road, Chelsea. You’ll l"
3.912023005428146,3.7683291,3.7811942,3.886752,3.9132211,0.14369386190397604,0.13082879537565573,0.025271115245650844,0.001198115406204625,0.40756094031972245,0.40636282491351783,Nice double room available in our friendly House. <br /><br />★ Walking distance to Maze Hill station or 10m bus to North Greenwich station<br />★ 20 minutes train to London Bridge
5.075173815233827,5.2166195,5.2584286,5.0804377,5.0764556,0.14144567634332184,0.18325475837457184,0.005263844983458554,0.0012817778753042575,0.40756094031972245,0.4062791624444182,✉ 𝗦𝗣𝗘𝗖𝗜𝗔𝗟 𝗥𝗔𝗧𝗘𝗦 𝗔𝗩𝗔𝗜𝗟𝗔𝗕𝗟𝗘 for long term bookings ✉<br /><br />For cheaper rates contact me on: zero Sevenn Sevenn nyne forr Ate Ate forr Ate Oh Sixx<br />Or scan QR code from image
